iter	Passed	Remaining
538	1751	1497
539	1751	1492
540	1752	1487
541	1753	1481
542	1754	1476
543	1754	1470
544	1755	1465
545	1756	1460
546	1757	1455
547	1757	1449
548	1758	1444
549	1759	1439
550	1759	1434
551	1760	1428
552	1761	1423
553	1762	1418
554	1763	1413
555	1774	1416
556	1775	1412
557	1776	1406
558	1776	1401
559	1777	1396
560	1778	1391
561	1779	1386
562	1779	1381
563	1780	1376
564	1781	1371
565	1782	1366
566	1782	1361
567	1783	1356
568	1784	1351
569	1784	1346
570	1785	1341
571	1786	1336
572	1787	1331
573	1787	1326
574	1788	1322
575	1789	1317
576	1790	1312
577	1790	1307
578	1791	1302
579	1792	1297
580	1793	1293
581	1793	1288
582	1794	1283
583	1795	1278
584	1796	1274
585	1796	1269
586	1797	1264
587	1798	1260
588	1799	1255
589	1800	1250
590	1800	1246
591	1801	1241
592	1802	1237
593	1803	1232
594	1803	1227
595	1819	1233
596	1820	1228
597	1821	1224
598	1822	1219
599	1822	1215
600	1823	1210
601	1824	1206
602	1825	1201
603	1825	1197
604	1826	1192
605	1827	1188
606	1828	1183
607	1828	1179
608	1829	1174
609	1830	1170
610	1831	1165
611	1831	1161
612	1832	1156
613	1833	1152
614	1834	1148
615	1835	1143
616	1835	1139
617	1836	1135
618	1837	1130
619	1838	1126
620	1838	1122
621	1839	1117
622	1840	1113
623	1840	1109
624	1841	1105
625	1842	1100
626	1843	1096
627	1843	1092
628	1850	1091
629	1851	1087
630	1851	1082
631	1852	1078
632	1853	1074
633	1854	1070
634	1854	1066
635	1855	1061
636	1856	1057
637	1856	1053
638	1857	1049
639	1858	1045
640	1859	1041
641	1860	1037
642	1860	1033
643	1861	1029
644	1862	1024
645	1863	1020
646	1863	1016
647	1864	1012
648	1865	1008
649	1866	1004
650	1866	1000
651	1867	996
652	1868	992
653	1869	988
654	1869	984
655	1870	980
656	1871	976
657	1872	973
658	1872	969
659	1873	965
660	1874	961
661	1875	957
662	1876	953
663	1877	949
664	1878	946
665	1878	942
666	1879	938
667	1880	934
668	1881	930
669	1882	927
670	1883	923
671	1883	919
672	1884	915
673	1885	911
674	1886	908
675	1886	904
676	1887	900
677	1888	896
678	1889	893
679	1890	889
680	1891	885
681	1896	884
682	1897	880
683	1898	876
684	1911	879
685	1912	875
686	1913	871
687	1914	867
688	1914	864
689	1915	860
690	1916	856
691	1917	853
692	1917	849
693	1918	845
694	1919	842
695	1920	838
696	1920	835
697	1921	831
698	1922	827
699	1923	824
700	1924	820
701	1924	817
702	1925	813
703	1927	810
704	1927	806
705	1928	803
706	1940	804
707	1955	806
708	1956	803
709	1970	805
710	1971	801
711	1972	797
712	1973	794
713	1974	790
714	1974	787
715	1975	783
716	1976	780
717	1977	776
718	1978	773
719	1978	769
720	1979	766
721	1980	762
722	1981	759
723	1982	755
724	1982	752
725	1983	748
726	1984	745
727	1985	741
728	1986	738
729	1986	734
730	1987	731
731	1988	728
732	1989	724
733	1990	721
734	1990	717
735	1991	714
736	1992	711
737	1993	707
738	1994	704
739	1994	700
740	1995	697
741	1996	694
742	1997	690
743	1998	687
744	1998	684
745	1999	680
746	2000	677
747	2001	674
748	2002	670
749	2003	667
750	2004	664
751	2005	661
752	2005	657
753	2006	654
754	2014	653
755	2029	654
756	2030	651
757	2031	648
758	2031	645
759	2032	641
760	2033	638
761	2034	635
762	2034	632
763	2035	628
764	2036	625
765	2037	622
766	2038	619
767	2038	615
768	2039	612
769	2040	609
770	2041	606
771	2042	603
772	2042	599
773	2043	596
774	2044	593
775	2045	590
776	2045	587
777	2046	584
778	2047	580
779	2048	577
780	2048	574
781	2049	571
782	2050	568
783	2051	565
784	2051	562
785	2052	558
786	2053	555
787	2054	552
788	2055	549
789	2055	546
790	2056	543
791	2057	540
792	2058	537
793	2058	534
794	2059	531
795	2060	528
796	2061	525
797	2062	522
798	2062	518
799	2063	515
800	2064	512
801	2065	509
802	2066	506
803	2067	503
804	2067	500
805	2068	497
806	2069	494
807	2070	491
808	2070	488
809	2071	485
810	2072	483
811	2073	480
812	2074	477
813	2075	474
814	2090	474
815	2105	474
816	2121	475
817	2137	475
818	2153	475
819	2168	476
820	2184	476
821	2200	476
822	2216	476
823	2217	473
824	2218	470
825	2219	467
826	2220	464
827	2232	463
828	2233	460
829	2234	457
830	2234	454
831	2235	451
832	2236	448
833	2236	445
834	2237	442
835	2238	439
836	2249	438
837	2250	435
838	2251	431
839	2251	428
840	2252	425
841	2253	422
842	2253	419
843	2254	416
844	2255	413
845	2256	410
846	2256	407
847	2257	404
848	2258	401
849	2259	398
850	2259	395
851	2260	392
852	2261	389
853	2262	386
854	2262	383
855	2263	380
856	2264	377
857	2265	374
858	2265	371
859	2266	368
860	2267	366
861	2268	363
862	2268	360
863	2269	357
864	2270	354
865	2271	351
866	2271	348
867	2272	345
868	2273	342
869	2274	339
870	2275	336
871	2275	334
872	2277	331
873	2293	330
874	2294	327
875	2295	324
876	2296	322
877	2297	319
878	2297	316
879	2298	313
880	2299	310
881	2299	307
882	2300	304
883	2301	302
884	2302	299
885	2302	296
886	2303	293
887	2304	290
888	2305	287
889	2306	285
890	2307	282
891	2307	279
892	2308	276
893	2309	273
894	2310	271
895	2310	268
896	2311	265
897	2312	262
898	2323	260
899	2339	259
900	2354	258
901	2370	257
902	2385	256
903	2386	253
904	2387	250
905	2388	247
906	2388	244
907	2389	242
908	2390	239
909	2390	236
910	2391	233
911	2400	231
912	2415	230
913	2416	227
914	2417	224
915	2418	221
916	2418	218
917	2419	216
918	2420	213
919	2420	210
920	2421	207
921	2422	204
922	2423	202
923	2423	199
924	2424	196
925	2425	193
926	2425	191
927	2431	188
928	2446	186
929	2462	185
930	2477	183
931	2493	181
932	2508	180
933	2509	177
934	2510	174
935	2510	171
936	2511	168
937	2524	166
938	2539	164
939	2555	163
940	2556	160
941	2556	157
942	2557	154
943	2558	151
944	2558	148
945	2559	146
946	2560	143
947	2560	140
948	2561	137
949	2562	134
950	2563	132
951	2563	129
952	2564	126
953	2570	123
954	2571	121
955	2572	118
956	2572	115
957	2585	113
958	2601	111
959	2602	108
960	2602	105
961	2603	102
962	2604	100
963	2604	97
964	2605	94
965	2617	92
966	2633	89
967	2648	87
968	2663	85
969	2679	82
970	2695	80
971	2696	77
972	2697	74
973	2697	72
974	2698	69
975	2711	66
976	2712	63
977	2712	61
978	2726	58
979	2727	55
980	2727	52
981	2728	50
982	2729	47
983	2729	44
984	2730	41
985	2731	38
986	2731	35
987	2732	33
988	2733	30
989	2733	27
990	2734	24
991	2735	22
992	2735	19
993	2736	16
994	2741	13
995	2741	11
996	2742	8
997	2743	5
998	2744	2
999	2744	0
